[2026-08-25T14:27:52.821Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:28:07.095Z] GET http://localhost:8899/ → 200 (1ms, ?B)
[2026-08-25T14:28:07.100Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:28:07.100Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:28:07.100Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:28:07.100Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (1ms, -191B)
[2026-08-25T14:28:07.101Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:28:07.101Z] GET http://localhost:8899/script.js → 304 (?ms, ?B)
[2026-08-25T14:28:33.645Z] GET http://localhost:8899/ → 200 (10ms, ?B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 304 (1ms, ?B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 304 (1ms, ?B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:28:33.656Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:28:59.226Z] GET http://localhost:8900/ → 200 (4ms, 28348B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/assets/fonts/bodoni-moda-latin.woff2 → 200 (4ms, 46248B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/assets/fonts/inter-latin.woff2 → 200 (4ms, 48432B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/styles.css → 200 (?ms, 27646B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (3ms, 4513B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/assets/mms_logo.svg → 200 (?ms, 11313B)
[2026-08-25T14:28:59.237Z] GET http://localhost:8900/script.js → 200 (4ms, 6674B)
[2026-08-25T14:29:23.826Z] GET http://localhost:8899/ → 200 (6ms, ?B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (3ms, -189B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (3ms, -189B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/styles.css → 304 (3ms, ?B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (1ms, -191B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (2ms, -192B)
[2026-08-25T14:29:23.850Z] GET http://localhost:8899/script.js → 304 (4ms, ?B)
[2026-08-25T14:29:51.182Z] GET http://localhost:8899/ → 200 (1ms, ?B)
